,id,bot_score
849,1496710327437828096,0.0
851,1496710636532809728,0.26
852,1496710700843945984,0.31
858,1496713174053457920,0.67
861,1496716460017676288,0.09
873,1496719063116296192,0.11
876,1496719985292554240,0.27
884,1496722584284680192,0.13
891,1496723428396646400,0.27
896,1496725099143397376,0.2
897,1496725448574734336,0.1
900,1496726096947326976,0.09
907,1496728560882819072,0.02
909,1496728571523440640,0.01
915,1496729329950023680,0.09
920,1496729725582348288,0.25
922,1496729917211381760,0.12
923,1496729940204535808,0.15
925,1496730561330642944,0.48
928,1496731162928041984,0.18
931,1496731759353819136,0.18
933,1496732160065032192,0.31
937,1496732356626894848,0.18
940,1496733387993747456,0.2
949,1496734535907778560,0.06
950,1496734637699260416,0.0
955,1496736057169043456,0.27
959,1496736970961211392,0.05
968,1496738451349147648,0.12
978,1496739939156910080,0.8300000000000001
984,1496740450232844288,0.29
986,1496740571951546368,0.33
988,1496740717133287424,0.21
990,1496740915636957184,0.9500000000000001
992,1496741021765410816,0.04
996,1496741848429342720,0.08
1001,1496743043457683456,0.25
1017,1496746363173826560,0.2
1019,1496746618225414144,0.27
1021,1496747213145391104,0.8
1024,1496748499316129792,0.27
1031,1496750006698528768,0.18
1038,1496751598227361792,0.4
1041,1496752744052318208,0.02
1043,1496753081421238272,0.52
1045,1496753350494150656,0.27
1047,1496753985700651008,0.16
1052,1496755433977094144,0.01
1053,1496755612197302272,0.27
1056,1496756689185480704,0.17
1058,1496756978990952448,0.17
1059,1496757195496583168,0.66
1065,1496758921272299520,0.41000000000000003
1066,1496759006219542528,0.16
1072,1496760196978388992,0.14
1083,1496761367856140288,0.27
1085,1496761727127539712,0.08
1095,1496765771447300096,0.36
1098,1496766633335009280,0.27
1101,1496766976223371264,0.01
1102,1496767796910309376,0.61
1106,1496768324398510080,0.75
1114,1496769307082174464,0.15
1119,1496769786579087360,0.07
1120,1496770080675446784,0.2
1121,1496770097100120064,0.11
1125,1496770888896630784,0.27
1126,1496770978910720000,0.11
1132,1496772591926738944,0.0
1136,1496774069781364736,0.05
1144,1496775703966195712,0.17
1148,1496776508161118208,0.15
1161,1496780234439462912,0.13
1177,1496783814781198336,0.27
1186,1496784565817413632,0.19
1187,1496784687355752448,0.04
1194,1496785570529427456,0.27
1199,1496786129038843904,0.27
1202,1496786851235090432,0.64
1214,1496788583826567168,0.27
1216,1496789383512399872,0.05
1220,1496790625454157824,0.06
1221,1496790757419614208,0.1
1227,1496792078549983232,0.41000000000000003
1229,1496792185295056896,0.2
1231,1496792593375449088,0.27
