,tweet_type,bot,like_count,reply_count,retweet_count
1227,original,0.0,0,0,0
1229,original,0.0,1,0,0
1231,original,0.0,0,0,0
1232,original,0.0,2,0,0
1234,original,0.0,21,3,6
1242,original,0.0,0,0,1
1246,original,0.0,0,0,0
1248,original,0.0,7,1,6
1251,original,0.0,190,8,44
1254,original,0.0,3,1,0
1256,original,0.0,0,1,0
1257,original,0.0,2,0,2
1259,original,0.0,6,2,0
1267,original,0.0,0,0,0
1271,original,0.0,1,0,0
1277,original,0.0,26,0,7
1287,original,0.0,1,1,0
1288,original,0.0,1,0,1
1298,original,0.0,9,5,1
1305,original,0.0,0,0,0
1306,original,0.0,4,0,1
1313,original,0.0,0,1,0
1321,original,0.0,6,0,0
1325,original,0.0,0,0,0
1327,original,0.0,3,0,2
1328,original,0.0,0,0,0
1339,original,0.0,19,4,2
1341,original,0.0,138,31,47
1360,original,0.0,1,0,2
1362,original,0.0,1,0,2
1373,original,0.0,19,7,0
1375,original,0.0,0,0,0
1382,original,0.0,0,0,0
1389,original,0.0,1,0,1
1396,original,0.0,4,0,1
1410,original,0.0,2,0,0
1424,original,0.0,0,0,0
1430,original,0.0,3,0,0
1435,original,0.0,0,0,0
1439,original,0.0,0,0,0
1441,original,0.0,2,0,0
1442,original,0.0,3,1,2
1445,original,0.0,0,2,1
1447,original,0.0,3,1,1
1450,original,0.0,0,0,0
1453,original,0.0,19,1,4
1463,original,0.0,0,0,0
1475,original,0.0,0,0,1
1482,original,0.0,22,0,22
1497,original,1.0,3,0,1
1505,original,0.0,0,0,0
1506,original,1.0,0,0,0
1514,original,0.0,1,1,0
1519,original,1.0,0,0,0
1522,original,0.0,1,0,0
1526,original,0.0,2,0,0
1527,original,0.0,0,1,0
1538,original,0.0,1,0,0
1565,original,0.0,1,0,1
1581,original,0.0,4,0,0
1590,original,0.0,0,0,0
1592,original,0.0,0,1,0
1595,original,0.0,1,0,0
1604,original,0.0,1,0,1
1608,original,0.0,0,0,0
1610,original,0.0,0,0,0
1627,original,0.0,0,0,1
1640,original,0.0,1,0,0
1650,original,0.0,1,0,0
1661,original,0.0,2,1,0
1666,original,0.0,6,2,1
1679,original,0.0,0,0,0
