,bot,followers_count
378,0.0,694
379,0.0,1048
380,0.0,553
381,0.0,1890
382,0.0,1586
383,0.0,42471
384,0.0,5659
385,0.0,711
386,0.0,388
387,0.0,114
388,0.0,413
389,0.0,8257
390,0.0,2256
391,0.0,7645
392,0.0,723
393,0.0,763
394,0.0,3223
395,1.0,7814
396,0.0,148
397,0.0,1816
398,0.0,1070
399,1.0,12926
400,0.0,3600
401,0.0,170
402,0.0,2270
403,0.0,937
404,0.0,102
405,0.0,30906
406,0.0,1475
407,0.0,7891
408,0.0,89
409,0.0,11
410,0.0,201
411,0.0,235
412,0.0,210
413,0.0,793
414,1.0,46617
415,0.0,4176
416,0.0,313
417,0.0,477
418,0.0,405
419,0.0,423
420,0.0,471
421,1.0,3083
422,0.0,948
423,0.0,203
424,1.0,588
425,1.0,473752
426,0.0,48
427,0.0,1782
428,0.0,8992
429,0.0,3657
430,0.0,251
431,0.0,11834
432,0.0,4631
433,0.0,148
434,0.0,10602
435,0.0,3664
436,0.0,913
437,0.0,176
438,0.0,1049
439,0.0,13207
440,1.0,306
441,0.0,449
442,0.0,6469
443,1.0,6449
444,0.0,631
445,0.0,800
446,0.0,1548
448,0.0,164
449,1.0,10562
450,0.0,1740
451,0.0,166
452,0.0,421
453,0.0,203
454,0.0,38
455,0.0,763
456,0.0,1637
457,1.0,8956
458,0.0,37
459,0.0,616
460,0.0,965
461,0.0,824
462,0.0,505
463,0.0,387
464,0.0,3724
465,0.0,30580
466,0.0,2250
467,0.0,1531
468,0.0,58048
469,0.0,828
470,0.0,3537
471,0.0,554
472,1.0,140
473,0.0,4380
474,0.0,420
475,0.0,5733
476,0.0,1334
477,1.0,20246
478,0.0,2482
479,0.0,323
480,1.0,8019
481,0.0,5663
482,0.0,412
483,0.0,986
484,0.0,89
485,0.0,3007
486,0.0,146
487,1.0,1491
488,0.0,2179
489,0.0,4629
490,0.0,184
491,0.0,153
492,0.0,29
493,0.0,1421
494,0.0,1084
495,0.0,99
496,0.0,311
497,0.0,82
498,0.0,176
499,1.0,1827
500,1.0,66
501,0.0,936
502,0.0,2763
503,0.0,681
504,0.0,416
505,0.0,327
506,0.0,2983
507,0.0,1624
508,0.0,289
509,0.0,17424
510,0.0,26
511,0.0,20723
512,0.0,3509
513,0.0,3980
514,1.0,8357
515,0.0,2386
516,1.0,8706
517,1.0,1500
518,1.0,188
519,0.0,455
520,1.0,11134
521,0.0,325
522,0.0,618
523,0.0,751
524,0.0,386
525,0.0,4812
526,0.0,277
527,0.0,530
528,0.0,412
529,0.0,860
530,0.0,582
531,0.0,1185
532,0.0,1724
533,0.0,556
534,0.0,2104
535,0.0,71
536,0.0,4769
537,0.0,1890
538,0.0,17983
539,0.0,173
540,0.0,1954
541,0.0,2832
542,0.0,2343
543,0.0,91
544,0.0,990
545,1.0,4306
546,0.0,692
547,0.0,129
548,0.0,773
549,0.0,3519
550,0.0,924
551,1.0,3993
552,0.0,1283
553,1.0,586
554,0.0,3077
555,0.0,930
556,0.0,36
557,0.0,5
558,0.0,176
559,0.0,11748
560,0.0,1145
561,0.0,1461
562,0.0,895
563,0.0,14813
564,0.0,3034
565,1.0,47
566,0.0,106
567,0.0,1918
568,1.0,2820
569,0.0,133
570,0.0,138
571,0.0,281
572,0.0,423
573,0.0,646
574,0.0,5713
575,0.0,3571
576,1.0,2149
577,0.0,1696
578,0.0,778
579,0.0,3157
580,0.0,1105
581,0.0,1326
582,0.0,567
583,0.0,4058
584,0.0,211623
585,1.0,18002
586,1.0,156
587,0.0,88
588,0.0,1163
589,0.0,2908
590,1.0,12251
591,0.0,2536
592,0.0,2994
593,0.0,137
594,0.0,4433
595,0.0,5619
596,1.0,1588
597,1.0,19370
598,0.0,1007
599,0.0,170
600,0.0,957
601,0.0,610
602,0.0,182
603,0.0,1697
604,0.0,170
605,0.0,503
606,0.0,2681
607,1.0,7080
608,0.0,4
609,0.0,1134
610,0.0,79
611,1.0,13898
612,0.0,376
613,0.0,292
614,0.0,1318
615,1.0,28473
616,0.0,224
617,1.0,3017
618,0.0,552
619,1.0,1636
620,1.0,1913
621,0.0,2019
622,1.0,2611
623,0.0,721
624,0.0,1077
625,0.0,10
626,1.0,6803
627,0.0,7396
628,0.0,6450
629,0.0,441
630,1.0,944
631,0.0,7303
632,0.0,7159
633,0.0,1934
634,0.0,1363
635,1.0,14545
636,0.0,1437
637,0.0,91
638,0.0,4265
639,0.0,341
640,0.0,253
641,0.0,327
642,1.0,58256
643,0.0,178
644,0.0,83
645,0.0,161
646,0.0,791
647,0.0,288
648,1.0,1332
649,0.0,1832
650,0.0,88
651,0.0,1029
652,0.0,498
653,0.0,5345
654,1.0,2031
655,0.0,1653
656,0.0,556
657,0.0,1627
658,1.0,3271
659,0.0,2229
660,0.0,414
661,0.0,2207
662,1.0,12086
663,0.0,329
664,0.0,3862
665,0.0,554
666,0.0,2643
667,0.0,633
668,0.0,567
669,0.0,6444
670,0.0,42
671,1.0,6630
672,0.0,27
673,1.0,802
674,0.0,4556
675,1.0,6346
676,0.0,263
677,0.0,6
678,0.0,863
679,0.0,4690
680,0.0,1019
681,0.0,489
682,0.0,2566
683,0.0,1747
684,0.0,249
685,0.0,821
686,1.0,16088
687,0.0,4205
688,0.0,271
689,0.0,13022
690,0.0,12982
691,0.0,636
692,1.0,8815
693,0.0,8341
694,0.0,887
695,0.0,238
696,0.0,105428
697,1.0,32323
698,0.0,725
699,0.0,216
700,0.0,358
701,0.0,5907
702,0.0,103
703,0.0,890
704,0.0,138
705,0.0,686
706,0.0,1844
707,0.0,131
708,0.0,6198
709,0.0,2312
710,0.0,5573
711,0.0,690
712,0.0,3223
713,0.0,441
714,0.0,1838
715,0.0,1133
716,0.0,912
717,0.0,2416
718,0.0,367
719,0.0,535
720,0.0,196
721,0.0,9
722,0.0,8623
723,1.0,856
724,0.0,3411
725,0.0,793
726,0.0,696
727,0.0,491
728,0.0,2155
729,0.0,552
730,0.0,55
731,1.0,2240
732,1.0,1848
733,0.0,1930
734,0.0,1783408
735,0.0,1069
736,0.0,329
737,0.0,850
738,0.0,3040
739,0.0,1434
740,0.0,1600
741,1.0,15347
742,0.0,1080864
743,0.0,205
744,1.0,745
745,0.0,2556
746,0.0,28893
747,0.0,39
748,0.0,1918
749,1.0,18902
750,1.0,890
751,1.0,17573
752,0.0,2695
753,0.0,1703
754,0.0,58
755,0.0,293
756,0.0,376
757,1.0,1058
758,1.0,1168
759,0.0,1731
760,0.0,575
761,1.0,2021
762,0.0,1379
763,0.0,58213
764,0.0,3270
765,0.0,2022
766,0.0,1195
767,0.0,536
768,0.0,33033
769,0.0,671
770,0.0,1472
771,0.0,3623
772,0.0,48
773,0.0,622
774,1.0,2769
775,0.0,766
776,0.0,315
777,0.0,111
778,0.0,367
779,0.0,54436
780,1.0,73112
781,0.0,6
782,0.0,14
783,0.0,4915
784,1.0,3760
785,0.0,255
786,0.0,2786
787,1.0,5773
788,0.0,2190
789,0.0,988
790,1.0,3141
791,0.0,1736601
792,0.0,413
793,0.0,54
794,0.0,1583
795,0.0,2114
796,0.0,547
797,0.0,134
798,0.0,33
799,1.0,8797
800,0.0,612
801,0.0,2231
802,0.0,84
803,0.0,357
804,0.0,14936
805,0.0,1282
806,0.0,5300
807,0.0,4557
808,0.0,1920
809,0.0,19
810,1.0,1334
811,0.0,953
812,0.0,10233
813,0.0,3323
814,0.0,538
815,0.0,4048
816,0.0,9
817,1.0,1273
818,1.0,14200
819,0.0,12415
820,0.0,95
821,0.0,873
822,0.0,218
823,1.0,3397
824,0.0,970
825,0.0,2929
826,1.0,3926
827,0.0,101
