,tweet_type,bot,count
268,quoted,0.0,199
269,replied_to,0.0,22
270,retweeted,0.0,1
271,retweeted,0.0,1
272,retweeted,0.0,5
273,retweeted,0.0,1
274,retweeted,1.0,2
275,retweeted,0.0,1
276,retweeted,0.0,1
277,retweeted,0.0,2
278,retweeted,1.0,1
279,retweeted,0.0,1
280,retweeted,0.0,1
281,retweeted,0.0,1
282,retweeted,1.0,1
283,retweeted,0.0,1
284,retweeted,0.0,1
285,retweeted,1.0,3
286,original,0.0,1
287,retweeted,0.0,1
288,retweeted,0.0,1
289,original,0.0,1
290,retweeted,0.0,1
291,retweeted,1.0,4
292,retweeted,0.0,2
293,retweeted,0.0,1
294,original,0.0,1
295,retweeted,0.0,1
296,retweeted,0.0,1
297,retweeted,0.0,1
298,retweeted,0.0,1
299,original,0.0,1
300,retweeted,1.0,1
301,quoted,0.0,1
302,retweeted,0.0,1
303,retweeted,0.0,1
304,original,0.0,1
305,retweeted,0.0,1
306,retweeted,0.0,2
307,retweeted,0.0,1
308,retweeted,0.0,2
309,original,0.0,1
310,quoted,0.0,1
311,retweeted,0.0,1
312,retweeted,0.0,1
313,retweeted,0.0,1
314,original,0.0,1
315,retweeted,0.0,1
316,retweeted,0.0,1
317,retweeted,0.0,1
318,original,1.0,1
319,original,0.0,1
320,retweeted,0.0,1
321,quoted,1.0,4
322,original,0.0,1
323,retweeted,0.0,1
324,original,0.0,11
325,replied_to,0.0,1
326,retweeted,0.0,1
327,retweeted,1.0,3
328,retweeted,0.0,1
329,replied_to,0.0,1
330,retweeted,0.0,1
331,retweeted,0.0,3
332,retweeted,0.0,1
333,retweeted,0.0,1
334,retweeted,0.0,1
335,retweeted,0.0,1
336,retweeted,0.0,1
337,retweeted,0.0,1
338,retweeted,1.0,1
339,retweeted,0.0,2
340,retweeted,0.0,1
341,retweeted,0.0,1
342,retweeted,0.0,1
343,retweeted,0.0,1
344,retweeted,0.0,1
345,retweeted,0.0,5
346,retweeted,0.0,1
347,retweeted,0.0,1
348,original,0.0,1
349,original,0.0,1
350,retweeted,0.0,1
351,retweeted,0.0,1
352,retweeted,0.0,1
353,retweeted,0.0,1
354,original,0.0,1
355,retweeted,1.0,1
356,original,0.0,5
357,quoted,0.0,1
358,replied_to,0.0,2
359,retweeted,0.0,1
360,retweeted,0.0,1
361,retweeted,0.0,1
362,retweeted,0.0,4
363,original,0.0,1
364,original,0.0,1
365,original,1.0,2
366,original,0.0,1
367,retweeted,0.0,1
368,retweeted,0.0,1
369,retweeted,0.0,1
370,retweeted,0.0,2
371,retweeted,0.0,1
372,retweeted,0.0,3
373,original,0.0,1
374,retweeted,0.0,1
375,retweeted,0.0,1
376,original,0.0,2
377,original,0.0,1
378,retweeted,0.0,1
379,original,0.0,1
380,retweeted,0.0,1
381,retweeted,0.0,2
382,retweeted,0.0,1
383,retweeted,0.0,1
384,retweeted,0.0,1
385,retweeted,1.0,2
386,retweeted,0.0,1
387,original,0.0,1
388,retweeted,0.0,1
389,retweeted,0.0,1
390,retweeted,1.0,8
391,original,1.0,1
392,retweeted,0.0,1
393,retweeted,0.0,1
394,original,0.0,1
395,original,0.0,1
396,retweeted,0.0,1
397,original,0.0,1
398,retweeted,0.0,1
399,original,0.0,1
400,retweeted,1.0,1
401,retweeted,0.0,1
402,original,0.0,1
403,quoted,0.0,1
404,retweeted,0.0,6
405,retweeted,0.0,2
406,retweeted,1.0,1
407,retweeted,0.0,1
408,original,0.0,1
409,retweeted,0.0,1
410,retweeted,0.0,1
411,original,1.0,1
412,retweeted,1.0,3
413,retweeted,0.0,1
414,retweeted,1.0,1
415,retweeted,0.0,1
416,original,0.0,1
417,retweeted,0.0,1
418,retweeted,0.0,1
419,retweeted,0.0,1
420,retweeted,0.0,1
421,original,0.0,1
422,retweeted,0.0,1
423,original,0.0,1
424,retweeted,0.0,1
425,retweeted,0.0,1
426,retweeted,0.0,1
427,retweeted,0.0,1
428,retweeted,0.0,1
429,original,0.0,3
430,retweeted,0.0,1
431,original,0.0,1
432,retweeted,0.0,1
433,retweeted,1.0,2
434,original,0.0,1
435,replied_to,0.0,3
436,original,0.0,1
437,retweeted,0.0,1
438,retweeted,1.0,2
439,original,0.0,2
440,retweeted,0.0,2
441,retweeted,0.0,2
442,original,0.0,2
443,replied_to,0.0,1
444,retweeted,0.0,7
445,retweeted,0.0,1
446,retweeted,0.0,1
447,retweeted,0.0,1
448,retweeted,0.0,1
449,retweeted,0.0,1
450,original,0.0,1
451,retweeted,0.0,1
452,retweeted,0.0,1
453,original,0.0,1
454,retweeted,1.0,1
455,quoted,0.0,1
456,retweeted,0.0,2
457,retweeted,0.0,1
458,retweeted,0.0,1
459,retweeted,0.0,1
460,retweeted,0.0,1
461,retweeted,1.0,1
462,original,0.0,1
463,retweeted,0.0,1
464,retweeted,1.0,1
465,original,1.0,1
466,retweeted,0.0,3
467,retweeted,0.0,2
468,retweeted,0.0,1
469,retweeted,0.0,1
470,replied_to,0.0,1
471,retweeted,0.0,1
472,retweeted,0.0,1
473,original,0.0,1
474,original,0.0,17
475,quoted,0.0,9
476,retweeted,0.0,5
477,retweeted,0.0,1
478,retweeted,0.0,1
479,retweeted,0.0,1
480,retweeted,0.0,1
481,retweeted,0.0,1
482,original,1.0,2
483,original,0.0,2
484,retweeted,0.0,1
485,original,1.0,1
486,retweeted,0.0,1
487,retweeted,0.0,1
488,retweeted,0.0,1
490,retweeted,0.0,1
491,retweeted,1.0,1
492,retweeted,0.0,1
493,retweeted,0.0,1
494,retweeted,0.0,1
495,original,0.0,1
496,retweeted,0.0,15
497,retweeted,0.0,1
498,retweeted,0.0,1
499,retweeted,1.0,1
500,retweeted,0.0,13
501,retweeted,0.0,1
502,original,0.0,1
503,original,0.0,1
504,original,0.0,1
505,replied_to,0.0,1
506,retweeted,0.0,3
507,retweeted,0.0,1
508,retweeted,0.0,1
509,original,0.0,2
510,retweeted,0.0,1
511,retweeted,0.0,1
512,retweeted,0.0,1
513,original,0.0,1
514,original,0.0,1
515,retweeted,0.0,3
516,retweeted,0.0,1
517,retweeted,1.0,1
518,retweeted,0.0,1
519,retweeted,0.0,1
520,retweeted,0.0,1
521,retweeted,0.0,1
522,retweeted,1.0,1
523,retweeted,0.0,1
524,retweeted,0.0,1
525,retweeted,1.0,1
526,retweeted,0.0,1
527,quoted,0.0,1
528,replied_to,0.0,1
529,retweeted,0.0,1
530,retweeted,0.0,1
531,retweeted,0.0,1
532,original,0.0,2
533,retweeted,0.0,3
534,original,1.0,1
535,retweeted,0.0,1
536,retweeted,0.0,1
537,retweeted,0.0,1
538,retweeted,0.0,1
539,retweeted,0.0,1
540,retweeted,0.0,1
541,retweeted,0.0,1
542,retweeted,0.0,1
543,retweeted,0.0,2
544,retweeted,0.0,1
545,retweeted,0.0,1
546,retweeted,1.0,2
547,original,1.0,1
548,retweeted,0.0,1
549,retweeted,0.0,1
550,retweeted,0.0,1
551,original,0.0,2
552,retweeted,0.0,4
553,retweeted,0.0,1
554,retweeted,0.0,1
555,replied_to,0.0,1
556,retweeted,0.0,1
557,retweeted,0.0,1
558,retweeted,0.0,1
559,retweeted,0.0,1
560,retweeted,0.0,1
561,original,1.0,1
562,retweeted,0.0,1
563,original,1.0,1
564,retweeted,1.0,1
565,original,1.0,1
566,retweeted,0.0,1
567,original,1.0,1
568,retweeted,1.0,1
569,retweeted,0.0,1
570,retweeted,0.0,1
571,original,0.0,1
572,retweeted,0.0,2
573,retweeted,0.0,1
574,retweeted,0.0,1
575,retweeted,0.0,1
576,retweeted,0.0,1
577,retweeted,0.0,1
578,original,0.0,1
579,quoted,0.0,1
580,original,0.0,1
581,original,0.0,1
582,retweeted,0.0,2
583,retweeted,0.0,1
584,original,0.0,1
585,retweeted,0.0,2
586,original,0.0,1
587,retweeted,0.0,1
588,replied_to,0.0,1
589,original,0.0,1
590,original,0.0,1
591,retweeted,0.0,4
592,retweeted,0.0,1
593,retweeted,0.0,1
594,retweeted,0.0,1
595,retweeted,1.0,2
596,replied_to,0.0,1
597,retweeted,0.0,1
598,retweeted,0.0,1
599,retweeted,0.0,1
600,retweeted,0.0,2
601,retweeted,1.0,1
602,retweeted,0.0,1
603,retweeted,1.0,2
604,retweeted,0.0,2
605,original,0.0,1
606,replied_to,0.0,1
607,retweeted,0.0,1
608,retweeted,0.0,1
609,original,0.0,1
610,retweeted,0.0,2
611,retweeted,0.0,1
612,retweeted,0.0,2
613,retweeted,0.0,1
614,retweeted,0.0,1
615,original,0.0,1
616,retweeted,1.0,1
617,retweeted,0.0,1
618,quoted,0.0,2
619,replied_to,0.0,2
620,retweeted,1.0,1
621,retweeted,0.0,1
622,retweeted,0.0,1
623,retweeted,0.0,1
624,retweeted,0.0,1
625,quoted,0.0,1
626,original,0.0,1
627,retweeted,0.0,1
628,retweeted,0.0,1
629,retweeted,1.0,2
630,retweeted,0.0,1
631,retweeted,0.0,1
632,original,0.0,2
633,retweeted,0.0,1
634,quoted,0.0,1
635,original,0.0,1
636,retweeted,0.0,3
637,original,0.0,1
638,retweeted,1.0,1
639,retweeted,1.0,1
640,retweeted,0.0,1
641,retweeted,0.0,1
642,retweeted,0.0,3
643,retweeted,1.0,2
644,retweeted,0.0,1
645,retweeted,0.0,1
646,retweeted,0.0,1
647,retweeted,0.0,1
648,original,0.0,2
649,retweeted,1.0,2
650,retweeted,1.0,2
651,retweeted,0.0,1
652,replied_to,0.0,1
653,retweeted,0.0,1
654,original,0.0,1
655,original,0.0,1
656,original,0.0,1
657,retweeted,0.0,1
658,retweeted,0.0,1
659,retweeted,0.0,1
660,retweeted,1.0,1
661,retweeted,0.0,1
662,original,0.0,1
663,quoted,0.0,1
664,original,1.0,1
665,retweeted,1.0,4
666,retweeted,0.0,1
667,retweeted,0.0,1
668,original,0.0,1
669,retweeted,1.0,1
670,retweeted,0.0,1
671,retweeted,1.0,1
672,original,0.0,1
673,retweeted,1.0,1
674,retweeted,1.0,1
675,retweeted,0.0,1
676,retweeted,1.0,1
677,retweeted,0.0,1
678,retweeted,0.0,6
679,retweeted,0.0,1
680,retweeted,1.0,1
681,original,0.0,1
682,original,0.0,1
683,retweeted,0.0,1
684,retweeted,1.0,1
685,retweeted,0.0,1
686,retweeted,0.0,1
687,retweeted,0.0,1
688,retweeted,0.0,1
689,original,1.0,1
690,quoted,1.0,1
691,retweeted,1.0,7
692,quoted,0.0,1
693,retweeted,0.0,1
694,original,0.0,2
695,retweeted,0.0,1
696,retweeted,0.0,1
697,retweeted,0.0,1
698,original,1.0,1
699,original,0.0,1
